year,landings
1970,1269.995
1971,1283.481
1972,1397
1973,1113
1974,1098
1975,1197
1976,1520
1977,2104
1978,1469
1979,1288
1980,1116
1981,1185
1982,1407
1983,1270
1984,1219
1985,2109
1986,2350
1987,2087
1988,2836
1989,2159
1990,1890
1991,2507
1992,3151
1993,3122
1994,3366
1995,3148
1996,3558
1997,3058
1998,2426
1999,1753
2000,1864
2001,1558.736733
2002,1252.473466
2003,2218.54993
2004,2279.43032
2005,3393.67583
2006,3412.74736
2007,3042.83435
2008,2543.69967
2009,2903.39442
2010,2618.02335
2011,1982.46856
2012,1521.30377
2013,1745.93315
2014,1331.41745
2015,1161.68303
2016,986
